0.0;4925900d52ca;quicker;17.79MiB / 1.953GiB;0.89%;4.92%;438B / 0B
0.5;4925900d52ca;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;4925900d52ca;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;4925900d52ca;quicker;27.58MiB / 1.953GiB;1.38%;34.84%;14.8kB / 19.3kB
2.0;4925900d52ca;quicker;27.58MiB / 1.953GiB;1.38%;34.84%;14.8kB / 19.3kB
2.5;4925900d52ca;quicker;29.66MiB / 1.953GiB;1.48%;16.39%;15.1kB / 106kB
3.0;4925900d52ca;quicker;29.66MiB / 1.953GiB;1.48%;16.39%;15.1kB / 106kB
3.5;4925900d52ca;quicker;30.27MiB / 1.953GiB;1.51%;12.29%;16kB / 209kB
4.0;4925900d52ca;quicker;30.27MiB / 1.953GiB;1.51%;12.29%;16kB / 209kB
4.5;4925900d52ca;quicker;30.33MiB / 1.953GiB;1.52%;12.79%;16.8kB / 348kB
5.0;4925900d52ca;quicker;30.33MiB / 1.953GiB;1.52%;12.79%;16.8kB / 348kB
5.5;4925900d52ca;quicker;30.38MiB / 1.953GiB;1.52%;3.85%;16.9kB / 390kB
6.0;4925900d52ca;quicker;30.38MiB / 1.953GiB;1.52%;3.85%;16.9kB / 390kB
6.5;4925900d52ca;quicker;30.52MiB / 1.953GiB;1.53%;4.34%;17.2kB / 427kB
7.0;4925900d52ca;quicker;30.52MiB / 1.953GiB;1.53%;4.34%;17.2kB / 427kB
7.5;4925900d52ca;quicker;30.57MiB / 1.953GiB;1.53%;2.78%;17.4kB / 469kB
8.0;4925900d52ca;quicker;30.57MiB / 1.953GiB;1.53%;2.78%;17.4kB / 469kB
8.5;4925900d52ca;quicker;31.07MiB / 1.953GiB;1.55%;11.49%;18kB / 580kB
9.0;4925900d52ca;quicker;31.07MiB / 1.953GiB;1.55%;11.49%;18kB / 580kB
9.5;4925900d52ca;quicker;31.28MiB / 1.953GiB;1.56%;9.44%;18.2kB / 730kB
10.0;4925900d52ca;quicker;31.28MiB / 1.953GiB;1.56%;9.44%;18.2kB / 730kB
10.5;4925900d52ca;quicker;31.68MiB / 1.953GiB;1.58%;6.47%;18.4kB / 811kB
11.0;4925900d52ca;quicker;31.68MiB / 1.953GiB;1.58%;6.47%;18.4kB / 811kB
11.5;4925900d52ca;quicker;31.75MiB / 1.953GiB;1.59%;1.66%;18.6kB / 811kB
12.0;4925900d52ca;quicker;31.75MiB / 1.953GiB;1.59%;1.66%;18.6kB / 811kB
12.5;4925900d52ca;quicker;40.5MiB / 1.953GiB;2.02%;12.46%;18.8kB / 924kB
13.0;4925900d52ca;quicker;40.5MiB / 1.953GiB;2.02%;12.46%;18.8kB / 924kB
13.5;4925900d52ca;quicker;40.5MiB / 1.953GiB;2.02%;0.07%;18.8kB / 924kB
14.0;4925900d52ca;quicker;40.5MiB / 1.953GiB;2.02%;0.07%;18.8kB / 924kB
14.5;4925900d52ca;quicker;40.75MiB / 1.953GiB;2.04%;5.76%;19.2kB / 965kB
15.0;4925900d52ca;quicker;40.75MiB / 1.953GiB;2.04%;5.76%;19.2kB / 965kB
15.5;4925900d52ca;quicker;40.65MiB / 1.953GiB;2.03%;0.07%;19.2kB / 965kB
16.0;4925900d52ca;quicker;40.65MiB / 1.953GiB;2.03%;0.07%;19.2kB / 965kB
16.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;2.56%;19.8kB / 966kB
17.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;2.56%;19.8kB / 966kB
17.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.02%;19.8kB / 966kB
18.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.02%;19.8kB / 966kB
18.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.00%;19.8kB / 966kB
19.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.00%;19.8kB / 966kB
19.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.00%;19.8kB / 966kB
20.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.00%;19.8kB / 966kB
20.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.18%;19.8kB / 966kB
21.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.18%;19.8kB / 966kB
21.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.07%;19.8kB / 966kB
22.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.07%;19.8kB / 966kB
22.5;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.06%;19.8kB / 966kB
23.0;4925900d52ca;quicker;40.66MiB / 1.953GiB;2.03%;0.06%;19.8kB / 966kB
