0.0;59596ce976e2;quicker;17.77MiB / 1.953GiB;0.89%;3.03%;438B / 0B
0.5;59596ce976e2;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;59596ce976e2;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;59596ce976e2;quicker;29.7MiB / 1.953GiB;1.49%;57.09%;14.7kB / 19.3kB
2.0;59596ce976e2;quicker;29.7MiB / 1.953GiB;1.49%;57.09%;14.7kB / 19.3kB
2.5;59596ce976e2;quicker;29.89MiB / 1.953GiB;1.49%;3.78%;14.8kB / 106kB
3.0;59596ce976e2;quicker;29.89MiB / 1.953GiB;1.49%;3.78%;14.8kB / 106kB
3.5;59596ce976e2;quicker;30.12MiB / 1.953GiB;1.51%;15.43%;15.5kB / 230kB
4.0;59596ce976e2;quicker;30.12MiB / 1.953GiB;1.51%;15.43%;15.5kB / 230kB
4.5;59596ce976e2;quicker;30.25MiB / 1.953GiB;1.51%;7.92%;16kB / 309kB
5.0;59596ce976e2;quicker;30.25MiB / 1.953GiB;1.51%;7.92%;16kB / 309kB
5.5;59596ce976e2;quicker;30.29MiB / 1.953GiB;1.51%;7.14%;16.4kB / 388kB
6.0;59596ce976e2;quicker;30.29MiB / 1.953GiB;1.51%;7.14%;16.4kB / 388kB
6.5;59596ce976e2;quicker;30.43MiB / 1.953GiB;1.52%;5.78%;16.8kB / 427kB
7.0;59596ce976e2;quicker;30.43MiB / 1.953GiB;1.52%;5.78%;16.8kB / 427kB
7.5;59596ce976e2;quicker;30.81MiB / 1.953GiB;1.54%;6.29%;17kB / 535kB
8.0;59596ce976e2;quicker;30.81MiB / 1.953GiB;1.54%;6.29%;17kB / 535kB
8.5;59596ce976e2;quicker;31.46MiB / 1.953GiB;1.57%;12.43%;17.5kB / 685kB
9.0;59596ce976e2;quicker;31.46MiB / 1.953GiB;1.57%;12.43%;17.5kB / 685kB
9.5;59596ce976e2;quicker;31.59MiB / 1.953GiB;1.58%;5.14%;17.6kB / 743kB
10.0;59596ce976e2;quicker;31.59MiB / 1.953GiB;1.58%;5.14%;17.6kB / 743kB
10.5;59596ce976e2;quicker;40.34MiB / 1.953GiB;2.02%;6.56%;17.8kB / 816kB
11.0;59596ce976e2;quicker;40.34MiB / 1.953GiB;2.02%;6.56%;17.8kB / 816kB
11.5;59596ce976e2;quicker;40.36MiB / 1.953GiB;2.02%;3.82%;18kB / 876kB
12.0;59596ce976e2;quicker;40.36MiB / 1.953GiB;2.02%;3.82%;18kB / 876kB
12.5;59596ce976e2;quicker;40.27MiB / 1.953GiB;2.01%;0.10%;18kB / 876kB
13.0;59596ce976e2;quicker;40.27MiB / 1.953GiB;2.01%;0.10%;18kB / 876kB
13.5;59596ce976e2;quicker;40.52MiB / 1.953GiB;2.03%;6.10%;18.5kB / 945kB
14.0;59596ce976e2;quicker;40.52MiB / 1.953GiB;2.03%;6.10%;18.5kB / 945kB
14.5;59596ce976e2;quicker;40.65MiB / 1.953GiB;2.03%;3.09%;18.7kB / 966kB
15.0;59596ce976e2;quicker;40.65MiB / 1.953GiB;2.03%;3.09%;18.7kB / 966kB
15.5;59596ce976e2;quicker;40.71MiB / 1.953GiB;2.04%;0.33%;18.9kB / 966kB
16.0;59596ce976e2;quicker;40.71MiB / 1.953GiB;2.04%;0.33%;18.9kB / 966kB
16.5;59596ce976e2;quicker;40.59MiB / 1.953GiB;2.03%;0.48%;19.1kB / 966kB
17.0;59596ce976e2;quicker;40.59MiB / 1.953GiB;2.03%;0.48%;19.1kB / 966kB
17.5;59596ce976e2;quicker;40.59MiB / 1.953GiB;2.03%;0.00%;19.1kB / 966kB
