0.0;8b251fc56818;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
0.5;8b251fc56818;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;8b251fc56818;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;8b251fc56818;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;8b251fc56818;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;8b251fc56818;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;8b251fc56818;quicker;23.04MiB / 1.953GiB;1.15%;39.19%;50kB / 19.2kB
3.5;8b251fc56818;quicker;23.04MiB / 1.953GiB;1.15%;39.19%;50kB / 19.2kB
4.0;8b251fc56818;quicker;30.73MiB / 1.953GiB;1.54%;99.28%;193kB / 109kB
4.5;8b251fc56818;quicker;30.73MiB / 1.953GiB;1.54%;99.28%;193kB / 109kB
5.0;8b251fc56818;quicker;47.24MiB / 1.953GiB;2.36%;97.02%;242kB / 471kB
5.5;8b251fc56818;quicker;47.24MiB / 1.953GiB;2.36%;97.02%;242kB / 471kB
6.0;8b251fc56818;quicker;69.84MiB / 1.953GiB;3.49%;50.24%;251kB / 739kB
6.5;8b251fc56818;quicker;69.84MiB / 1.953GiB;3.49%;50.24%;251kB / 739kB
7.0;8b251fc56818;quicker;70.97MiB / 1.953GiB;3.55%;15.44%;257kB / 792kB
7.5;8b251fc56818;quicker;70.97MiB / 1.953GiB;3.55%;15.44%;257kB / 792kB
8.0;8b251fc56818;quicker;70.85MiB / 1.953GiB;3.54%;1.25%;257kB / 792kB
8.5;8b251fc56818;quicker;70.85MiB / 1.953GiB;3.54%;1.25%;257kB / 792kB
9.0;8b251fc56818;quicker;71.54MiB / 1.953GiB;3.58%;9.82%;259kB / 843kB
9.5;8b251fc56818;quicker;71.54MiB / 1.953GiB;3.58%;9.82%;259kB / 843kB
10.0;8b251fc56818;quicker;71.92MiB / 1.953GiB;3.60%;13.67%;262kB / 949kB
10.5;8b251fc56818;quicker;71.92MiB / 1.953GiB;3.60%;13.67%;262kB / 949kB
11.0;8b251fc56818;quicker;71.91MiB / 1.953GiB;3.60%;5.67%;263kB / 995kB
11.5;8b251fc56818;quicker;71.91MiB / 1.953GiB;3.60%;5.67%;263kB / 995kB
12.0;8b251fc56818;quicker;72.48MiB / 1.953GiB;3.62%;8.50%;264kB / 1.07MB
12.5;8b251fc56818;quicker;72.48MiB / 1.953GiB;3.62%;8.50%;264kB / 1.07MB
13.0;8b251fc56818;quicker;72.47MiB / 1.953GiB;3.62%;1.57%;264kB / 1.08MB
13.5;8b251fc56818;quicker;72.47MiB / 1.953GiB;3.62%;1.57%;264kB / 1.08MB
14.0;8b251fc56818;quicker;72.6MiB / 1.953GiB;3.63%;6.65%;265kB / 1.14MB
14.5;8b251fc56818;quicker;72.6MiB / 1.953GiB;3.63%;6.65%;265kB / 1.14MB
15.0;8b251fc56818;quicker;72.86MiB / 1.953GiB;3.64%;13.51%;268kB / 1.28MB
15.5;8b251fc56818;quicker;72.86MiB / 1.953GiB;3.64%;13.51%;268kB / 1.28MB
16.0;8b251fc56818;quicker;72.82MiB / 1.953GiB;3.64%;3.45%;269kB / 1.3MB
16.5;8b251fc56818;quicker;72.82MiB / 1.953GiB;3.64%;3.45%;269kB / 1.3MB
17.0;8b251fc56818;quicker;72.95MiB / 1.953GiB;3.65%;8.28%;270kB / 1.39MB
17.5;8b251fc56818;quicker;72.95MiB / 1.953GiB;3.65%;8.28%;270kB / 1.39MB
18.0;8b251fc56818;quicker;72.9MiB / 1.953GiB;3.64%;4.51%;270kB / 1.42MB
18.5;8b251fc56818;quicker;72.9MiB / 1.953GiB;3.64%;4.51%;270kB / 1.42MB
19.0;8b251fc56818;quicker;72.95MiB / 1.953GiB;3.65%;7.53%;272kB / 1.52MB
19.5;8b251fc56818;quicker;72.95MiB / 1.953GiB;3.65%;7.53%;272kB / 1.52MB
20.0;8b251fc56818;quicker;73MiB / 1.953GiB;3.65%;5.76%;272kB / 1.62MB
20.5;8b251fc56818;quicker;73MiB / 1.953GiB;3.65%;5.76%;272kB / 1.62MB
21.0;8b251fc56818;quicker;73.18MiB / 1.953GiB;3.66%;12.25%;273kB / 1.76MB
21.5;8b251fc56818;quicker;73.18MiB / 1.953GiB;3.66%;12.25%;273kB / 1.76MB
22.0;8b251fc56818;quicker;73.08MiB / 1.953GiB;3.65%;4.04%;273kB / 1.81MB
22.5;8b251fc56818;quicker;73.08MiB / 1.953GiB;3.65%;4.04%;273kB / 1.81MB
23.0;8b251fc56818;quicker;73.25MiB / 1.953GiB;3.66%;8.23%;274kB / 1.89MB
23.5;8b251fc56818;quicker;73.25MiB / 1.953GiB;3.66%;8.23%;274kB / 1.89MB
24.0;8b251fc56818;quicker;73.14MiB / 1.953GiB;3.66%;0.52%;274kB / 1.89MB
24.5;8b251fc56818;quicker;73.14MiB / 1.953GiB;3.66%;0.52%;274kB / 1.89MB
25.0;8b251fc56818;quicker;73.33MiB / 1.953GiB;3.67%;10.68%;275kB / 2.04MB
25.5;8b251fc56818;quicker;73.33MiB / 1.953GiB;3.67%;10.68%;275kB / 2.04MB
26.0;8b251fc56818;quicker;73.38MiB / 1.953GiB;3.67%;5.99%;276kB / 2.09MB
26.5;8b251fc56818;quicker;73.38MiB / 1.953GiB;3.67%;5.99%;276kB / 2.09MB
27.0;8b251fc56818;quicker;73.41MiB / 1.953GiB;3.67%;4.69%;276kB / 2.15MB
27.5;8b251fc56818;quicker;73.41MiB / 1.953GiB;3.67%;4.69%;276kB / 2.15MB
28.0;8b251fc56818;quicker;73.35MiB / 1.953GiB;3.67%;4.82%;277kB / 2.22MB
28.5;8b251fc56818;quicker;73.35MiB / 1.953GiB;3.67%;4.82%;277kB / 2.22MB
29.0;8b251fc56818;quicker;73.52MiB / 1.953GiB;3.68%;10.74%;277kB / 2.36MB
29.5;8b251fc56818;quicker;73.52MiB / 1.953GiB;3.68%;10.74%;277kB / 2.36MB
30.0;8b251fc56818;quicker;73.49MiB / 1.953GiB;3.67%;11.96%;277kB / 2.55MB
30.5;8b251fc56818;quicker;73.49MiB / 1.953GiB;3.67%;11.96%;277kB / 2.55MB
31.0;8b251fc56818;quicker;73.5MiB / 1.953GiB;3.67%;0.58%;278kB / 2.55MB
31.5;8b251fc56818;quicker;73.5MiB / 1.953GiB;3.67%;0.58%;278kB / 2.55MB
32.0;8b251fc56818;quicker;73.5MiB / 1.953GiB;3.67%;0.77%;278kB / 2.55MB
32.5;8b251fc56818;quicker;73.5MiB / 1.953GiB;3.67%;0.77%;278kB / 2.55MB
33.0;8b251fc56818;quicker;73.5MiB / 1.953GiB;3.67%;0.43%;278kB / 2.55MB
33.5;8b251fc56818;quicker;73.5MiB / 1.953GiB;3.67%;0.43%;278kB / 2.55MB
34.0;8b251fc56818;quicker;73.59MiB / 1.953GiB;3.68%;18.55%;279kB / 2.78MB
34.5;8b251fc56818;quicker;73.59MiB / 1.953GiB;3.68%;18.55%;279kB / 2.78MB
35.0;8b251fc56818;quicker;73.78MiB / 1.953GiB;3.69%;19.30%;279kB / 3.03MB
35.5;8b251fc56818;quicker;73.78MiB / 1.953GiB;3.69%;19.30%;279kB / 3.03MB
36.0;8b251fc56818;quicker;73.79MiB / 1.953GiB;3.69%;1.09%;280kB / 3.03MB
36.5;8b251fc56818;quicker;73.79MiB / 1.953GiB;3.69%;1.09%;280kB / 3.03MB
37.0;8b251fc56818;quicker;73.91MiB / 1.953GiB;3.70%;5.29%;280kB / 3.09MB
37.5;8b251fc56818;quicker;73.91MiB / 1.953GiB;3.70%;5.29%;280kB / 3.09MB
38.0;8b251fc56818;quicker;73.83MiB / 1.953GiB;3.69%;0.12%;280kB / 3.09MB
38.5;8b251fc56818;quicker;73.83MiB / 1.953GiB;3.69%;0.12%;280kB / 3.09MB
39.0;8b251fc56818;quicker;73.95MiB / 1.953GiB;3.70%;4.39%;280kB / 3.14MB
39.5;8b251fc56818;quicker;73.95MiB / 1.953GiB;3.70%;4.39%;280kB / 3.14MB
40.0;8b251fc56818;quicker;73.85MiB / 1.953GiB;3.69%;0.57%;281kB / 3.14MB
40.5;8b251fc56818;quicker;73.85MiB / 1.953GiB;3.69%;0.57%;281kB / 3.14MB
41.0;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.81%;281kB / 3.14MB
41.5;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.81%;281kB / 3.14MB
42.0;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;12.22%;281kB / 3.32MB
42.5;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;12.22%;281kB / 3.32MB
43.0;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.11%;281kB / 3.32MB
43.5;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.11%;281kB / 3.32MB
44.0;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.13%;281kB / 3.32MB
44.5;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.13%;281kB / 3.32MB
45.0;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.04%;281kB / 3.32MB
45.5;8b251fc56818;quicker;73.97MiB / 1.953GiB;3.70%;0.04%;281kB / 3.32MB
46.0;8b251fc56818;quicker;73.98MiB / 1.953GiB;3.70%;3.78%;281kB / 3.36MB
46.5;8b251fc56818;quicker;73.98MiB / 1.953GiB;3.70%;3.78%;281kB / 3.36MB
47.0;8b251fc56818;quicker;74MiB / 1.953GiB;3.70%;2.64%;282kB / 3.37MB
47.5;8b251fc56818;quicker;74MiB / 1.953GiB;3.70%;2.64%;282kB / 3.37MB
48.0;8b251fc56818;quicker;74MiB / 1.953GiB;3.70%;1.75%;282kB / 3.39MB
48.5;8b251fc56818;quicker;74MiB / 1.953GiB;3.70%;1.75%;282kB / 3.39MB
49.0;8b251fc56818;quicker;74.38MiB / 1.953GiB;3.72%;2.15%;282kB / 3.39MB
49.5;8b251fc56818;quicker;74.38MiB / 1.953GiB;3.72%;2.15%;282kB / 3.39MB
50.0;8b251fc56818;quicker;74.32MiB / 1.953GiB;3.72%;1.08%;283kB / 3.39MB
50.5;8b251fc56818;quicker;74.32MiB / 1.953GiB;3.72%;1.08%;283kB / 3.39MB
51.0;8b251fc56818;quicker;74.32MiB / 1.953GiB;3.72%;0.24%;283kB / 3.39MB
51.5;8b251fc56818;quicker;74.32MiB / 1.953GiB;3.72%;0.24%;283kB / 3.39MB
52.0;8b251fc56818;quicker;74.32MiB / 1.953GiB;3.72%;0.17%;283kB / 3.39MB
