0.0;a5d0573bcbae;quicker;17.75MiB / 1.953GiB;0.89%;4.22%;438B / 0B
0.5;a5d0573bcbae;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;598B / 0B
1.0;a5d0573bcbae;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;598B / 0B
1.5;a5d0573bcbae;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;a5d0573bcbae;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;a5d0573bcbae;quicker;28.3MiB / 1.953GiB;1.41%;85.81%;112kB / 1.34kB
3.0;a5d0573bcbae;quicker;28.3MiB / 1.953GiB;1.41%;85.81%;112kB / 1.34kB
3.5;a5d0573bcbae;quicker;32.4MiB / 1.953GiB;1.62%;98.27%;196kB / 284kB
4.0;a5d0573bcbae;quicker;32.4MiB / 1.953GiB;1.62%;98.27%;196kB / 284kB
4.5;a5d0573bcbae;quicker;62.31MiB / 1.953GiB;3.12%;98.42%;213kB / 742kB
5.0;a5d0573bcbae;quicker;62.31MiB / 1.953GiB;3.12%;98.42%;213kB / 742kB
5.5;a5d0573bcbae;quicker;77.17MiB / 1.953GiB;3.86%;39.82%;220kB / 1.01MB
6.0;a5d0573bcbae;quicker;77.17MiB / 1.953GiB;3.86%;39.82%;220kB / 1.01MB
6.5;a5d0573bcbae;quicker;77.89MiB / 1.953GiB;3.89%;8.33%;221kB / 1.04MB
7.0;a5d0573bcbae;quicker;77.89MiB / 1.953GiB;3.89%;8.33%;221kB / 1.04MB
7.5;a5d0573bcbae;quicker;78MiB / 1.953GiB;3.90%;1.66%;221kB / 1.04MB
8.0;a5d0573bcbae;quicker;78MiB / 1.953GiB;3.90%;1.66%;221kB / 1.04MB
8.5;a5d0573bcbae;quicker;78.64MiB / 1.953GiB;3.93%;1.84%;222kB / 1.04MB
9.0;a5d0573bcbae;quicker;78.64MiB / 1.953GiB;3.93%;1.84%;222kB / 1.04MB
9.5;a5d0573bcbae;quicker;78.64MiB / 1.953GiB;3.93%;0.48%;222kB / 1.04MB
10.0;a5d0573bcbae;quicker;78.64MiB / 1.953GiB;3.93%;0.48%;222kB / 1.04MB
10.5;a5d0573bcbae;quicker;78.64MiB / 1.953GiB;3.93%;0.59%;222kB / 1.04MB
11.0;a5d0573bcbae;quicker;78.64MiB / 1.953GiB;3.93%;0.59%;222kB / 1.04MB
11.5;a5d0573bcbae;quicker;78.7MiB / 1.953GiB;3.93%;6.26%;224kB / 1.08MB
12.0;a5d0573bcbae;quicker;78.7MiB / 1.953GiB;3.93%;6.26%;224kB / 1.08MB
12.5;a5d0573bcbae;quicker;79.58MiB / 1.953GiB;3.98%;23.82%;230kB / 1.23MB
