0.0;6414e13a5614;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;6414e13a5614;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;6414e13a5614;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;6414e13a5614;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;6414e13a5614;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;6414e13a5614;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.0;6414e13a5614;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
3.5;6414e13a5614;quicker;28.57MiB / 1.953GiB;1.43%;84.18%;69.5kB / 1.35kB
4.0;6414e13a5614;quicker;28.57MiB / 1.953GiB;1.43%;84.18%;69.5kB / 1.35kB
4.5;6414e13a5614;quicker;32.48MiB / 1.953GiB;1.62%;84.68%;248kB / 268kB
5.0;6414e13a5614;quicker;32.48MiB / 1.953GiB;1.62%;84.68%;248kB / 268kB
5.5;6414e13a5614;quicker;35.29MiB / 1.953GiB;1.76%;99.32%;319kB / 385kB
6.0;6414e13a5614;quicker;35.29MiB / 1.953GiB;1.76%;99.32%;319kB / 385kB
6.5;6414e13a5614;quicker;75.49MiB / 1.953GiB;3.77%;98.29%;350kB / 893kB
7.0;6414e13a5614;quicker;75.49MiB / 1.953GiB;3.77%;98.29%;350kB / 893kB
7.5;6414e13a5614;quicker;82.65MiB / 1.953GiB;4.13%;51.97%;357kB / 1.29MB
8.0;6414e13a5614;quicker;82.65MiB / 1.953GiB;4.13%;51.97%;357kB / 1.29MB
8.5;6414e13a5614;quicker;82.72MiB / 1.953GiB;4.14%;11.32%;363kB / 1.32MB
9.0;6414e13a5614;quicker;82.72MiB / 1.953GiB;4.14%;11.32%;363kB / 1.32MB
9.5;6414e13a5614;quicker;83.14MiB / 1.953GiB;4.16%;3.86%;363kB / 1.32MB
10.0;6414e13a5614;quicker;83.14MiB / 1.953GiB;4.16%;3.86%;363kB / 1.32MB
10.5;6414e13a5614;quicker;83.09MiB / 1.953GiB;4.15%;1.63%;365kB / 1.32MB
11.0;6414e13a5614;quicker;83.09MiB / 1.953GiB;4.15%;1.63%;365kB / 1.32MB
11.5;6414e13a5614;quicker;83.09MiB / 1.953GiB;4.15%;3.67%;368kB / 1.32MB
12.0;6414e13a5614;quicker;83.09MiB / 1.953GiB;4.15%;3.67%;368kB / 1.32MB
12.5;6414e13a5614;quicker;83.49MiB / 1.953GiB;4.17%;10.06%;370kB / 1.41MB
