0.0;844fca7f57ad;quicker;17.73MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;844fca7f57ad;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.0;844fca7f57ad;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;844fca7f57ad;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;844fca7f57ad;quicker;17.72MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.5;844fca7f57ad;quicker;22.36MiB / 1.953GiB;1.12%;44.03%;195kB / 1.35kB
3.0;844fca7f57ad;quicker;22.36MiB / 1.953GiB;1.12%;44.03%;195kB / 1.35kB
3.5;844fca7f57ad;quicker;30.87MiB / 1.953GiB;1.54%;99.37%;318kB / 118kB
4.0;844fca7f57ad;quicker;30.87MiB / 1.953GiB;1.54%;99.37%;318kB / 118kB
4.5;844fca7f57ad;quicker;34.42MiB / 1.953GiB;1.72%;98.35%;371kB / 276kB
5.0;844fca7f57ad;quicker;34.42MiB / 1.953GiB;1.72%;98.35%;371kB / 276kB
5.5;844fca7f57ad;quicker;51.73MiB / 1.953GiB;2.59%;98.44%;392kB / 709kB
6.0;844fca7f57ad;quicker;51.73MiB / 1.953GiB;2.59%;98.44%;392kB / 709kB
6.5;844fca7f57ad;quicker;74.6MiB / 1.953GiB;3.73%;51.98%;415kB / 1.04MB
7.0;844fca7f57ad;quicker;74.6MiB / 1.953GiB;3.73%;51.98%;415kB / 1.04MB
7.5;844fca7f57ad;quicker;74.67MiB / 1.953GiB;3.73%;8.17%;416kB / 1.13MB
8.0;844fca7f57ad;quicker;74.67MiB / 1.953GiB;3.73%;8.17%;416kB / 1.13MB
8.5;844fca7f57ad;quicker;75.25MiB / 1.953GiB;3.76%;8.85%;417kB / 1.18MB
9.0;844fca7f57ad;quicker;75.25MiB / 1.953GiB;3.76%;8.85%;417kB / 1.18MB
9.5;844fca7f57ad;quicker;75.39MiB / 1.953GiB;3.77%;5.47%;417kB / 1.19MB
10.0;844fca7f57ad;quicker;75.39MiB / 1.953GiB;3.77%;5.47%;417kB / 1.19MB
10.5;844fca7f57ad;quicker;75.66MiB / 1.953GiB;3.78%;9.87%;418kB / 1.32MB
11.0;844fca7f57ad;quicker;75.66MiB / 1.953GiB;3.78%;9.87%;418kB / 1.32MB
11.5;844fca7f57ad;quicker;75.62MiB / 1.953GiB;3.78%;3.74%;419kB / 1.37MB
12.0;844fca7f57ad;quicker;75.62MiB / 1.953GiB;3.78%;3.74%;419kB / 1.37MB
12.5;844fca7f57ad;quicker;75.77MiB / 1.953GiB;3.79%;17.72%;419kB / 1.57MB
13.0;844fca7f57ad;quicker;75.77MiB / 1.953GiB;3.79%;17.72%;419kB / 1.57MB
13.5;844fca7f57ad;quicker;75.81MiB / 1.953GiB;3.79%;3.65%;419kB / 1.6MB
14.0;844fca7f57ad;quicker;75.81MiB / 1.953GiB;3.79%;3.65%;419kB / 1.6MB
14.5;844fca7f57ad;quicker;75.81MiB / 1.953GiB;3.79%;0.41%;419kB / 1.6MB
